Country,Category,Product Name,Sales,Quantity
Nigeria,Technology,Memorex Micro Travel Drive 32 GB,36.51,1
Argentina,Technology,Lexmark S315 Color Inkjet Printer,239.976,3
South Africa,Furniture,Bretford Rectangular Conference Table Tops,1579.746,7
Brazil,Furniture,Balt Solid Wood Round Tables,1071.576,4
Chile,Furniture,"Hon 30"" x 60"" Table with Locking Drawer",613.908,3
Nigeria,Office Supplies,Xerox 1926,34.86,7
New Zealand,Office Supplies,Xerox 1918,155.04,4
Australia,Office Supplies,SpineVue Locking Slant-D Ring Binders by Cardinal,13.71,5
Chile,Furniture,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",127.88,2
Chile,Office Supplies,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",160.32,2
South Africa,Office Supplies,Ibico Covers for Plastic or Wire Binding Elements,46.0,4
Nigeria,Furniture,"Global Leather & Oak Executive Chair, Burgundy",120.712,1
Argentina,Office Supplies,HP Office Recycled Paper (20Lb. and 87 Bright),23.12,4
South Africa,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",532.704,6
Chile,Office Supplies,"Dixon Ticonderoga Maple Cedar Pencil, #2",4.912,2
Egypt,Technology,Hypercom P1300 Pinpad,252.0,4
Australia,Furniture,Flat Face Poster Frame,60.288,8
South Africa,Office Supplies,Acco Hot Clips Clips to Go,2.632,1
Chile,Office Supplies,Tops Wirebound Message Log Books,23.688,9
Egypt,Furniture,Global Ergonomic Managers Chair,253.372,2
Chile,Office Supplies,Revere Boxed Rubber Bands by Revere,5.67,3
Brazil,Office Supplies,GBC DocuBind P50 Personal Binding Machine,76.776,4
South Africa,Office Supplies,Acme Kleencut Forged Steel Scissors,9.184,2
South Africa,Office Supplies,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",32.75,5
New Zealand,Office Supplies,Advantus T-Pin Paper Clips,7.216,2
South Africa,Office Supplies,Xerox 1951,49.568,2
Argentina,Furniture,DAX Solid Wood Frames,54.712,7
Australia,Office Supplies,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,176.04,4
Nigeria,Office Supplies,Staples in misc. colors,16.02,9
Australia,Office Supplies,Avery Arch Ring Binders,185.92,4
Argentina,Technology,Clearsounds A400,211.168,4
Australia,Technology,Hewlett Packard 310 Color Digital Copier,479.984,2
New Zealand,Office Supplies,Staples,7.86,2
Chile,Office Supplies,Recycled Premium Regency Composition Covers,24.448,2
Brazil,Office Supplies,Xerox 219,6.48,1
Nigeria,Office Supplies,Xerox 1903,41.86,7
Egypt,Technology,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),1619.91,9
Brazil,Furniture,"Seth Thomas 14"" Day/Date Wall Clock",113.92,4
Egypt,Office Supplies,Newell 345,39.68,2
Brazil,Technology,Imation Clip USB flash drive - 8 GB,37.6,2
South Africa,Technology,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,59.9,2
Argentina,Office Supplies,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",37.0,5
South Africa,Office Supplies,Avery File Folder Labels,5.76,2
Nigeria,Office Supplies,Newell 318,16.68,6
New Zealand,Office Supplies,Fellowes Officeware Wire Shelving,628.81,7
Australia,Office Supplies,X-Rack File for Hanging Folders,56.45,5
Chile,Office Supplies,Hanging Personal Folder File,94.2,6
Argentina,Office Supplies,Staple envelope,28.4,5
South Africa,Furniture,O'Sullivan Plantations 2-Door Library in Landvery Oak,956.6648,7
Egypt,Technology,Logitech G19 Programmable Gaming Keyboard,1115.91,9
Argentina,Technology,Motorola HK250 Universal Bluetooth Headset,128.744,7
Argentina,Technology,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",79.92,10
Argentina,Office Supplies,Staples in misc. colors,24.2,5
Chile,Technology,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,359.976,3
Brazil,Furniture,DAX Natural Wood-Tone Poster Frame,211.84,8
Argentina,Office Supplies,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",5.68,2
Brazil,Office Supplies,3-ring staple pack,7.52,5
Egypt,Office Supplies,Xerox 1974,11.96,2
Nigeria,Furniture,Bevis Boat-Shaped Conference Table,629.064,3
Nigeria,Furniture,"Global Leather & Oak Executive Chair, Burgundy",754.45,5
Brazil,Furniture,Bush Mission Pointe Library,301.96,2
Australia,Technology,WD My Passport Ultra 2TB Portable External Hard Drive,595.0,5
Chile,Office Supplies,GBC Twin Loop Wire Binding Elements,79.872,3
Egypt,Technology,Panasonic KX MB2061 Multifunction Printer,2396.4,10
Australia,Office Supplies,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",63.56,2
Australia,Technology,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,99.99,1
Argentina,Office Supplies,Safco Industrial Wire Shelving,230.376,3
Nigeria,Office Supplies,"Adams Telephone Message Books, 5 1/4 x 11",9.664,2
Brazil,Technology,Maxell 4.7GB DVD-R,158.928,7
Nigeria,Office Supplies,Satellite Sectional Post Binders,13.023,1
Egypt,Furniture,Hon Rectangular Conference Tables,273.06,2
Brazil,Office Supplies,Staples,39.312,13
Egypt,Office Supplies,Computer Printout Index Tabs,1.344,4
New Zealand,Office Supplies,GBC Wire Binding Combs,8.272,4
South Africa,Furniture,"Stacking Tray, Side-Loading, Legal, Smoke",12.544,7
South Africa,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,58.48,8
Egypt,Furniture,3M Hangers With Command Adhesive,7.4,2
Argentina,Furniture,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",366.786,7
Brazil,Technology,Spigen Samsung Galaxy S5 Case Wallet,54.368,4
South Africa,Office Supplies,Brown Kraft Recycled Envelopes,33.96,2
New Zealand,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,826.11,3
South Africa,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",545.85,9
Chile,Furniture,Bevis Rectangular Conference Tables,145.98,2
Argentina,Office Supplies,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",35.808,4
Brazil,Furniture,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",7.904,2
Nigeria,Technology,AT&T 841000 Phone,345.0,5
New Zealand,Furniture,Bevis 36 x 72 Conference Tables,174.286,2
Australia,Office Supplies,Eureka Sanitaire  Commercial Upright,662.84,4
Australia,Technology,SanDisk Cruzer 32 GB USB Flash Drive,95.1,5
Australia,Office Supplies,Ampad #10 Peel & Seel Holiday Envelopes,26.88,6
Chile,Technology,Digium D40 VoIP phone,257.98,2
Nigeria,Office Supplies,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,2
Brazil,Furniture,Hon Olson Stacker Stools,492.835,5
Egypt,Office Supplies,Fellowes Officeware Wire Shelving,269.49,3
Chile,Office Supplies,Cardinal Holdit Data Disk Pockets,29.12,5
Chile,Office Supplies,Avery 496,18.75,5
New Zealand,Technology,Cisco SPA525G2 IP Phone - Wireless,119.7,6
Nigeria,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",9.144,3
Egypt,Technology,SanDisk Cruzer 32 GB USB Flash Drive,57.06,3
Argentina,Technology,Kingston Digital DataTraveler 16GB USB 2.0,71.6,8
New Zealand,Office Supplies,"Neat Ideas Personal Hanging Folder Files, Black",107.44,8
Egypt,Office Supplies,Avery 486,7.31,1
Australia,Office Supplies,Lumber Crayons,59.1,6
Argentina,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",46.53,3
Australia,Office Supplies,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",97.84,2
Brazil,Office Supplies,Xerox 1896,29.97,3
Egypt,Office Supplies,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",98.352,3
Nigeria,Office Supplies,GBC Premium Transparent Covers with Diagonal Lined Pattern,83.92,5
Australia,Office Supplies,SpineVue Locking Slant-D Ring Binders by Cardinal,14.624,2
South Africa,Technology,AT&T 1080 Corded phone,136.99,1
Egypt,Office Supplies,Avery 520,3.15,1
Egypt,Office Supplies,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",9.11,1
Chile,Office Supplies,Letter Size Cart,571.44,4
Egypt,Office Supplies,Xerox 23,32.4,5
Egypt,Office Supplies,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",16.91,1
New Zealand,Furniture,Eldon Pizzaz Desk Accessories,14.272,8
Brazil,Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,4
South Africa,Office Supplies,Fellowes Mighty 8 Compact Surge Protector,64.864,4
Australia,Furniture,Global Deluxe High-Back Office Chair in Storm,217.584,2
Nigeria,Technology,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,82.95,5
Egypt,Office Supplies,Avery 50,87.71,7
Brazil,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,1101.48,4
South Africa,Furniture,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1322.352,3
New Zealand,Office Supplies,Newell 322,5.46,3
Chile,Office Supplies,Fiskars Spring-Action Scissors,11.184,1
South Africa,Office Supplies,Safco Industrial Wire Shelving,153.584,2
Australia,Office Supplies,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,1003.62,6
Chile,Technology,Anker 24W Portable Micro USB Car Charger,35.168,4
Nigeria,Furniture,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1137.75,5
Argentina,Office Supplies,GBC Standard Therm-A-Bind Covers,99.68,5
Egypt,Office Supplies,Newell 344,5.56,2
Argentina,Office Supplies,"SAFCO Mobile Desk Side File, Wire Frame",85.52,2
Nigeria,Office Supplies,Newell 313,9.84,3
Argentina,Office Supplies,Xerox 1959,20.04,3
Nigeria,Technology,Jawbone JAMBOX Wireless Bluetooth Speaker,631.96,4
Chile,Office Supplies,Xerox 1895,23.92,4
Nigeria,Office Supplies,White GlueTop Scratch Pads,90.24,6
Australia,Technology,Apple iPhone 5,4548.81,7
Argentina,Furniture,KI Adjustable-Height Table,300.93,5
Chile,Technology,Polycom VVX 310 VoIP phone,719.96,5
Egypt,Furniture,"Global Geo Office Task Chair, Gray",647.84,8
Nigeria,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black",64.17,3
Brazil,Office Supplies,Cameo Buff Policy Envelopes,124.46,2
Australia,Office Supplies,GBC Personal VeloBind Strips,9.584,1
Nigeria,Office Supplies,"#10 White Business Envelopes,4 1/8 x 9 1/2",37.608,3
South Africa,Office Supplies,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",12.224,2
Brazil,Office Supplies,Avery Durable Binders,2.304,4
Nigeria,Office Supplies,Fellowes Binding Cases,9.36,4
Nigeria,Office Supplies,Avery 52,7.38,2
Argentina,Office Supplies,"Fellowes Personal Hanging Folder Files, Navy",53.72,4
Nigeria,Office Supplies,High Speed Automatic Electric Letter Opener,8187.65,5
New Zealand,Furniture,Staple-based wall hangings,77.92,8
Australia,Office Supplies,Belkin 8 Outlet Surge Protector,32.784,4
Nigeria,Technology,Panasonic KX TS3282B Corded phone,196.776,3
New Zealand,Technology,Logitech G13 Programmable Gameboard with LCD Display,479.94,6
Egypt,Office Supplies,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1117.92,4
Chile,Technology,Memorex Froggy Flash Drive 8 GB,106.5,6
Brazil,Office Supplies,"Premier Elliptical Ring Binder, Black",45.66,5
Nigeria,Technology,Belkin F8E887 USB Wired Ergonomic Keyboard,95.968,4
Australia,Furniture,Global Chrome Stack Chair,47.992,2
Australia,Office Supplies,Economy Rollaway Files,264.32,2
Nigeria,Office Supplies,Ames Color-File Green Diamond Border X-ray Mailers,604.656,9
New Zealand,Furniture,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,129.93,3
Argentina,Office Supplies,Avery 49,20.16,7
Nigeria,Office Supplies,Avery 508,29.46,6
Argentina,Office Supplies,Hoover Upright Vacuum With Dirt Cup,868.59,3
Argentina,Office Supplies,Xerox 1999,12.96,2
Egypt,Technology,Samsung Replacement EH64AVFWE Premium Headset,5.5,1
Argentina,Office Supplies,Ibico Plastic Spiral Binding Combs,121.6,4
Brazil,Office Supplies,Newell 312,42.048,9
Egypt,Technology,Maxell 4.7GB DVD-RW 3/Pack,25.488,2
Australia,Office Supplies,Ibico Covers for Plastic or Wire Binding Elements,6.9,3
Nigeria,Office Supplies,"Fellowes Twister Kit, Gray/Clear, 3/pkg",9.648,6
Nigeria,Office Supplies,Xerox 1949,7.968,2
Chile,Office Supplies,Xerox 210,10.368,2
South Africa,Office Supplies,Xerox 1929,114.2,5
Chile,Office Supplies,Avery Non-Stick Binders,17.96,4
Nigeria,Office Supplies,Colored Push Pins,12.67,7
Chile,Technology,Logitech Gaming G510s - Keyboard,339.96,4
Egypt,Office Supplies,Tennsco Single-Tier Lockers,1801.632,6
New Zealand,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,46.32,4
Egypt,Furniture,High-Back Leather Manager's Chair,181.986,2
Nigeria,Technology,Polycom VVX 310 VoIP phone,431.976,4
Egypt,Technology,Nortel Meridian M5316 Digital phone,155.37,1
Chile,Furniture,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,1348.704,6
Egypt,Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,700.152,3
Nigeria,Furniture,12-1/2 Diameter Round Wall Clock,111.888,7
Argentina,Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,143.952,3
Nigeria,Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish",173.94,3
New Zealand,Office Supplies,Avery 52,14.76,4
Egypt,Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black",205.92,4
Argentina,Furniture,O'Sullivan Living Dimensions 2-Shelf Bookcases,102.833,1
Egypt,Office Supplies,Newell 346,2.304,1
South Africa,Technology,Samsung Galaxy S4 Mini,1879.96,5
New Zealand,Office Supplies,Xerox 1891,313.024,8
Egypt,Office Supplies,Avery 488,5.04,2
Argentina,Furniture,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",821.88,6
South Africa,Office Supplies,GBC Imprintable Covers,21.96,2
New Zealand,Office Supplies,Xerox 224,25.92,4
New Zealand,Technology,HTC One Mini,705.544,7
South Africa,Technology,Dell Slim USB Multimedia Keyboard,50.0,2
Brazil,Furniture,Contemporary Wood/Metal Frame,51.712,8
Argentina,Office Supplies,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",6.992,2
Brazil,Furniture,O'Sullivan Living Dimensions 3-Shelf Bookcases,1406.86,7
Chile,Office Supplies,Self-Adhesive Removable Labels,15.75,5
Australia,Office Supplies,Fellowes Super Stor/Drawer Files,323.1,2
Brazil,Office Supplies,Avery 474,9.216,4
Brazil,Office Supplies,Xerox 227,10.368,2
Egypt,Technology,KeyTronic KT800P2 - Keyboard - Black,15.02,1
Nigeria,Office Supplies,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",33.82,2
Argentina,Technology,Memorex Froggy Flash Drive 8 GB,71.0,4
Egypt,Office Supplies,GBC Standard Plastic Binding Systems' Combs,25.12,5
Argentina,Furniture,Hon 94000 Series Round Tables,2665.62,9
South Africa,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",478.08,8
South Africa,Technology,AT&T 1080 Corded phone,164.388,2
Brazil,Office Supplies,BIC Brite Liner Highlighters,13.248,4
Nigeria,Office Supplies,"Crayola Anti Dust Chalk, 12/Pack",2.912,2
South Africa,Technology,Logitech diNovo Edge Keyboard,1399.944,7
South Africa,Furniture,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,526.45,5
Chile,Office Supplies,Fashion Color Clasp Envelopes,16.23,3
Australia,Office Supplies,GBC ProClick Punch Binding System,319.9,5
Argentina,Office Supplies,Staple envelope,11.36,2
Nigeria,Office Supplies,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,675.12,3
Egypt,Furniture,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3
Egypt,Office Supplies,"SAFCO Commercial Wire Shelving, 72h",489.92,8
Chile,Office Supplies,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,3
New Zealand,Office Supplies,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2
New Zealand,Technology,Macally Suction Cup Mount,155.35,13
Australia,Furniture,Eldon Image Series Black Desk Accessories,12.42,3
New Zealand,Technology,Jabra SPEAK 410,187.98,2
Nigeria,Office Supplies,"#10 Gummed Flap White Envelopes, 100/Box",6.608,2
Brazil,Office Supplies,Steel Personal Filing/Posting Tote,248.57,7
Brazil,Furniture,"Executive Impressions 14""",22.23,1
New Zealand,Office Supplies,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",5.98,1
Argentina,Technology,Cisco Small Business SPA 502G VoIP phone,246.168,3
Australia,Furniture,"Executive Impressions 12"" Wall Clock",14.136,2
Chile,Furniture,Bretford CR8500 Series Meeting Room Furniture,601.47,3
Egypt,Technology,Motorla HX550 Universal Bluetooth Headset,79.1,2
Nigeria,Office Supplies,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",327.84,8
South Africa,Office Supplies,Tyvek Side-Opening Peel & Seel Expanding Envelopes,180.96,2
Egypt,Office Supplies,Ibico Hi-Tech Manual Binding System,914.97,3
Egypt,Technology,Plantronics Calisto P620-M USB Wireless Speakerphone System,587.97,3
Nigeria,Office Supplies,Tennsco 6- and 18-Compartment Lockers,530.34,2
New Zealand,Office Supplies,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),14.94,3
Argentina,Office Supplies,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,121.94,2
Argentina,Office Supplies,"Acme 10"" Easy Grip Assistive Scissors",122.71,7
South Africa,Office Supplies,Easy-staple paper,14.94,3
Brazil,Technology,Panasonic KX MC6040 Color Laser Multifunction Printer,1349.85,3
Australia,Furniture,Sauder Inglewood Library Bookcases,136.784,1
Chile,Furniture,"Linden 10"" Round Wall Clock, Black",61.12,4
Brazil,Office Supplies,Avery Binder Labels,1.167,1
Egypt,Office Supplies,Berol Giant Pencil Sharpener,16.99,1
New Zealand,Technology,KeyTronic KT400U2 - Keyboard - Black,24.672,3
South Africa,Office Supplies,Avery 520,2.52,1
Nigeria,Furniture,Bretford CR4500 Series Slim Rectangular Table,1218.735,5
Argentina,Office Supplies,Avery 52,5.904,2
Brazil,Office Supplies,Southworth 25% Cotton Granite Paper & Envelopes,15.696,3
Chile,Furniture,"Master Caster Door Stop, Brown",6.096,3
Egypt,Furniture,"Global Stack Chair without Arms, Black",41.568,2
Brazil,Furniture,Bevis Steel Folding Chairs,230.28,3
Nigeria,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",18.288,6
Chile,Office Supplies,Avery 498,5.78,2
Chile,Office Supplies,Fellowes Binding Cases,121.68,13
New Zealand,Office Supplies,Design Ebony Sketching Pencil,4.17,3
Nigeria,Technology,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",67.04,4
Brazil,Office Supplies,Eldon Simplefile Box Office,37.32,3
South Africa,Office Supplies,Avery 517,18.45,5
Nigeria,Office Supplies,Xerox 214,25.92,4
South Africa,Technology,Canon imageCLASS 2200 Advanced Copier,11199.968,4
Nigeria,Technology,Polycom CX600 IP Phone VoIP phone,2399.6,8
Brazil,Office Supplies,Globe Weis Peel & Seel First Class Envelopes,63.9,5
Argentina,Technology,i.Sound Portable Power - 8000 mAh,52.99,1
Nigeria,Technology,SanDisk Cruzer 32 GB USB Flash Drive,60.864,4
Argentina,Technology,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,652.995,7
Nigeria,Office Supplies,Accohide Poly Flexible Ring Binders,11.22,10
Nigeria,Office Supplies,Xerox 1952,14.94,3
South Africa,Furniture,24-Hour Round Wall Clock,39.96,2
New Zealand,Furniture,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,42.624,2
Australia,Furniture,SAFCO Arco Folding Chair,220.96,1
Australia,Furniture,Stackable Trays,4.928,2
Nigeria,Office Supplies,Wilson Jones Turn Tabs Binder Tool for Ring Binders,7.23,5
Australia,Office Supplies,Fellowes Super Stor/Drawer Files,323.1,2
Egypt,Office Supplies,"TOPS Voice Message Log Book, Flash Format",19.04,4
Australia,Office Supplies,Angle-D Ring Binders,13.128,3
Egypt,Office Supplies,Boston 1730 StandUp Electric Pencil Sharpener,64.14,3
Egypt,Furniture,Safco Contoured Stacking Chairs,858.24,4
South Africa,Technology,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,29.99,1
Australia,Office Supplies,White Computer Printout Paper by Universal,186.048,6
Nigeria,Technology,Motorola L804,36.792,1
South Africa,Furniture,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",18.624,8
Chile,Furniture,"Executive Impressions 13"" Clairmont Wall Clock",57.69,3
Chile,Office Supplies,"GBC Laser Imprintable Binding System Covers, Desert Sand",42.81,3
Chile,Office Supplies,Xerox 2000,12.96,2
New Zealand,Furniture,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",821.88,6
Brazil,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C,104.85,3
Egypt,Furniture,Bestar Classic Bookcase,424.9575,5
Nigeria,Office Supplies,Avery Non-Stick Binders,10.776,3
Nigeria,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",11.784,3
Argentina,Office Supplies,Green Bar Computer Printout Paper,164.88,3
South Africa,Furniture,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",1292.94,3
Argentina,Office Supplies,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",25.584,2
New Zealand,Office Supplies,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",261.74,2
Australia,Office Supplies,Avery 514,14.4,5
New Zealand,Office Supplies,Convenience Packs of Business Envelopes,10.86,3
Argentina,Furniture,SAFCO Arco Folding Chair,883.84,4
Egypt,Technology,Google Nexus 5,1979.89,11
South Africa,Office Supplies,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",79.96,2
Australia,Office Supplies,Acco 3-Hole Punch,8.76,2
South Africa,Office Supplies,Avery 499,3.984,1
New Zealand,Furniture,Bevis 44 x 96 Conference Tables,370.62,3
Nigeria,Office Supplies,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,2.742,2
Nigeria,Technology,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,79.512,3
Nigeria,Office Supplies,Easy-staple paper,28.352,1
Argentina,Furniture,"Global Deluxe Stacking Chair, Gray",40.784,1
New Zealand,Office Supplies,Fellowes Advanced Computer Series Surge Protectors,105.96,4
Argentina,Office Supplies,Xerox 1913,166.44,3
Chile,Furniture,Global Italian Leather Office Chair,785.88,6
Brazil,Office Supplies,Advantus Motivational Note Cards,26.2,2
Australia,Office Supplies,Tennsco 6- and 18-Compartment Lockers,1325.85,5
New Zealand,Office Supplies,Xerox 1888,166.44,3
Australia,Office Supplies,Pencil and Crayon Sharpener,8.76,5
South Africa,Office Supplies,Belkin 5 Outlet SurgeMaster Power Centers,43.584,1
Brazil,Office Supplies,"Wilson Jones 1"" Hanging DublLock Ring Binders",11.088,7
Brazil,Office Supplies,"Avery Trapezoid Extra Heavy Duty 4"" Binders",25.164,2
Australia,Office Supplies,Avery Durable Binders,14.4,5
South Africa,Technology,Logitech G19 Programmable Gaming Keyboard,619.95,5
Chile,Office Supplies,"Avery Flip-Chart Easel Binder, Black",89.52,4
Chile,Technology,I.R.I.S IRISCard Anywhere 5 Card Scanner,350.973,3
Australia,Technology,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",164.99,1
New Zealand,Office Supplies,Satellite Sectional Post Binders,312.552,9
Nigeria,Office Supplies,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",95.952,3
Brazil,Office Supplies,Pressboard Data Binders by Wilson Jones,3.204,2
New Zealand,Office Supplies,Ibico Presentation Index for Binding Systems,3.98,5
Egypt,Office Supplies,"Adams ""While You Were Out"" Message Pads",15.7,5
Brazil,Office Supplies,BIC Brite Liner Grip Highlighters,5.248,4
Australia,Office Supplies,Storex Dura Pro Binders,5.346,3
Argentina,Office Supplies,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",15.48,3
Egypt,Technology,AT&T 17929 Lendline Telephone,108.576,3
Nigeria,Furniture,"Contract Clock, 14"", Brown",109.9,5
Nigeria,Furniture,"Executive Impressions 13"" Clairmont Wall Clock",15.384,1
Australia,Office Supplies,Xerox 1912,30.352,2
Nigeria,Technology,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,821.3,4
Brazil,Technology,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,6
South Africa,Office Supplies,Xerox 195,21.376,4
Argentina,Office Supplies,Avery Fluorescent Highlighter Four-Color Set,8.016,3
South Africa,Furniture,"Executive Impressions 13"" Clairmont Wall Clock",30.768,2
Australia,Office Supplies,Staples,18.936,3
New Zealand,Furniture,"Dana Fluorescent Magnifying Lamp, White, 36""",122.352,3
Nigeria,Office Supplies,Xerox 1944,116.28,3
Argentina,Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,132.6,6
Australia,Office Supplies,Acme Elite Stainless Steel Scissors,16.68,2
New Zealand,Office Supplies,Xerox 215,19.44,3
South Africa,Office Supplies,Xerox 1885,192.16,4
Australia,Furniture,"Computer Room Manger, 14""",227.36,7
Australia,Technology,Bady BDG101FRU Card Printer,1919.976,3
Chile,Office Supplies,Acco D-Ring Binder w/DublLock,12.828,2
Chile,Furniture,Nu-Dell Leatherette Frames,45.888,4
Argentina,Office Supplies,Sanford Liquid Accent Highlighters,60.12,9
Chile,Technology,AT&T CL2909,302.376,3
Chile,Office Supplies,Prang Drawing Pencil Set,13.9,5
Argentina,Technology,Plantronics Voyager Pro HD - Bluetooth Headset,129.98,2
Australia,Technology,Sony 64GB Class 10 Micro SDHC R40 Memory Card,71.98,2
Egypt,Technology,AT&T EL51110 DECT,377.97,3
Chile,Office Supplies,"Fellowes Mobile File Cart, Black",124.36,2
Nigeria,Furniture,12-1/2 Diameter Round Wall Clock,23.976,3
Chile,Office Supplies,OIC Bulk Pack Metal Binder Clips,8.376,3
Argentina,Office Supplies,Acco 6 Outlet Guardian Premium Surge Suppressor,58.24,5
Brazil,Office Supplies,Acco Perma 4000 Stacking Storage Drawers,81.2,5
Nigeria,Office Supplies,Avery 512,14.45,5
Chile,Office Supplies,GBC Recycled Regency Composition Covers,95.648,2
South Africa,Technology,Jabra Supreme Plus Driver Edition Headset,359.97,5
Argentina,Furniture,Bevis Rectangular Conference Tables,350.352,4
Argentina,Office Supplies,Angle-D Ring Binders,1.641,1
New Zealand,Technology,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,629.958,7
Brazil,Office Supplies,Newell 311,6.63,3
Chile,Technology,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,799.96,4
Egypt,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",107.53,1
Argentina,Technology,"Logitech B530 USB Headset - headset - Full size, Binaural",73.98,2
